prompt,gen_text
"rewrite the text in a different style: Oliver Twist was the child of an unknown woman who died in the workhouse of an English village, almost as soon as her babe drew his first breath.","I 
HOW OLIVER CAME TO LONDON AND WHAT HE FOUND THERE 
Oliver Twist was the son of a poor lady who was found lying in the street one day in an English village, almost starved and very ill."
"rewrite the text in a different style: The mother's name being unknown, the workhouse officials called the child Oliver Twist, under which title he grew up.","
Little Oliver, the baby, grew without any idea of who he was."
"rewrite the text in a different style: For nine years he was farmed out at a branch poorhouse, where with twenty or thirty other children he bore all the miseries consequent on neglect, abuse, and starvation.",When he was a year old he was sent to the poor-farm where an old woman took care of orphan children for a very small sum apiece each week.
rewrite the text in a different style: He was then removed to the workhouse proper to be taught a useful trade.,"The apprentice had finally run away, too, had come to London and begun a wicked life."
"rewrite the text in a different style: 
His ninth birthday found him a pale, thin child, diminutive in stature, and decidedly small in circumference, but possessed of a good sturdy spirit, which was not broken by the policy of the officials who tried to get as much work out of the paupers as possible, and to keep them on as scant a supply of food as would sustain life.","He was too big a coward to rob any one but little children who had been sent to the shop to buy something, so Fagin had given him spying work to do, and in this, being by nature a sneak, he proved very successful."
"rewrite the text in a different style: 
The boys were fed in a large stone hall, with a copper at one end, out of which the gruel was ladled at meal-times.","They ate in a great stone hall, in one end of which stood the big copper of gruel which Mr. Bumble ladled out."
"rewrite the text in a different style: Of this festive composition each boy had one porringer, and no more--except on occasions of great public rejoicing, when he had two ounces and a quarter of bread besides.","
The boys had nothing but thin gruel for their meals, with an onion twice a week and half a roll on Sundays."
rewrite the text in a different style: The bowls never wanted washing.,"Each boy got only one helping, and the bowls never needed washing, because, when the meal was through, there was not a drop of gruel left in them."
"rewrite the text in a different style: The boys polished them with their spoons till they shone again; and when they had performed this operation, they would sit staring at the copper, as if they could have devoured the very bricks of which it was composed; sucking their fingers, with the view of catching up any stray splashes of gruel that might have been cast thereon.","After each meal they all sat staring at the copper and sucking their fingers, but nobody dared ask for more."
"rewrite the text in a different style: 
Boys have generally excellent appetites.","
One day they felt so terribly hungry that one of the biggest boys said unless he got another helping of gruel he was afraid he would have to eat the boy who slept next him."
"rewrite the text in a different style: Oliver Twist and his companions suffered the tortures of slow starvation for three months: at last they got so voracious and wild that one boy hinted darkly that unless he had another basin of gruel a day, he was afraid he might some night happen to eat the boy who slept next him.","
As for Mr. and Mrs. Bumble, they, of course, lost their positions, and sank from bad to worse till they finally became paupers and were sent to the very same poorhouse where they had tortured little Oliver Twist."
"rewrite the text in a different style: He had a wild, hungry, eye; and they implicitly believed him.",The little boys all believed this and cast lots to see who should ask for more.
"rewrite the text in a different style: A council was held; lots were cast who should walk up to the master, and ask for more, and it fell to Oliver Twist.",It fell to Oliver Twist.
"rewrite the text in a different style: 
The evening arrived; the boys took their places.","
The chance they waited for occurred before many days."
"rewrite the text in a different style: He rose and advancing to the master, basin and spoon in hand, said, somewhat alarmed at his own temerity: 
""Please, sir, I want some more!""","
So that night after supper, though he was dreadfully frightened, Oliver rose and went up to the end of the room and said to Mr. Bumble, ""Please, sir, I want some more."""
"rewrite the text in a different style: 
The master was a fat, healthy man; but he turned very pale.","
Mr. Bumble was so surprised he turned pale. """
"rewrite the text in a different style: 
""What?""","What!"""
"rewrite the text in a different style: said the master at length, in a faint voice.",he gasped.
"rewrite the text in a different style: 
""Please, sir,"" replied Oliver, ""I want some more.""","
""Please, sir,"" said Oliver again, ""I want some more."""
"rewrite the text in a different style: 
The master aimed a blow at Oliver's head with the ladle; pinioned him in his arms; and shrieked for the beadle, and when that gentleman appeared, an animated discussion took place.","
Mr. Bumble picked up the ladle and struck Oliver on the head with it; then he pounced on him and shook him."
"rewrite the text in a different style: Oliver was ordered into instant confinement; and a bill was next morning pasted on the outside of the gate, offering a reward of five pounds to any body who would take Oliver Twist off the hands of the parish.","
For many days Oliver was kept a prisoner."
"rewrite the text in a different style: In other words, five pounds, and Oliver Twist were offered to any man or woman who wanted an apprentice to any trade, business, or calling.","Oliver told them what the apprentice had said, but that made no difference."
"rewrite the text in a different style: 
Mr. Sowerberry, the parish undertaker, finally applied for the prize, and carried Oliver away with him, which, for the poor boy, was a matter of falling from the frying pan into the fire, and in his short career as undertaker's assistant he even sighed for the workhouse,--miserable as his life there had been.","The undertaker sent for Mr. Bumble, and between them they flogged him till he could hardly stand and sent him to bed without anything to eat."
"rewrite the text in a different style: At the undertaker's, Oliver's bed was in the shop.",He slept under the counter among piles of empty coffins.
"rewrite the text in a different style: His food was broken bits left from the meals of others, and his constant companion was an older boy, Noah Claypole, who, although a charity boy himself, was not a workhouse orphan, and therefore considered himself in a position above Oliver.",No other than the cowardly apprentice who had bullied Oliver until he ran away from the undertaker's house.
"rewrite the text in a different style: Crimson with fury, Oliver started up, seized Noah by the throat, shook him till his teeth chattered, and then with one heavy blow, felled him to the ground.","The people were all convinced at this, and when Sikes struck Oliver and seized him by the collar they said, ""Serves him right!"""
"rewrite the text in a different style: 
This brought about a violent scene, for Noah accused Oliver of attempting to murder him, and Mrs. Sowerberry, the maid, and the beadle,--who had been hastily summoned,--agreed that Oliver was a hardened wretch, only fit for confinement, and he was accordingly placed in the cellar, till the undertaker came in, when he was dragged out again to have the story retold.",And so Oliver found himself dragged away from Mr. Brownlow to the filthy house where lived Fagin.
"rewrite the text in a different style: To do Mr. Sowerberry justice, he would have been kindly disposed towards Oliver, but for the prejudice of his wife against the boy.","Then, to make an example of him, a notice was pasted on the gate of the workhouse offering a reward to anybody who would take poor Oliver away and do what he liked with him."
"rewrite the text in a different style: However, to satisfy her, he gave Oliver a sound beating, and shut him up in the back kitchen until night, when, amidst the jeers and pointings of Noah and Mrs. Sowerberry, he was ordered up-stairs to his dismal bed.","Late at night they came to an old deserted mansion in the country, and in the basement of this, where a fire had been kindled, they joined two other men whom Oliver had seen more than once in Fagin's house in London."
"rewrite the text in a different style: 
It was then, alone, in the silence of the gloomy workshop, that Oliver gave way to his feelings, wept bitterly, and resolved no longer to bear such treatment.","
The journey had been cold and long and Oliver was very hungry, but he could scarcely eat the supper that was given him for fear of what they intended to do with him in that lonely spot."
"rewrite the text in a different style: Softly he undid the fastenings of the door, and looked abroad.","He was so tired, however, that he finally went fast asleep and knew nothing more till two o'clock in the morning, when Sikes woke him roughly and bade him come with them."
rewrite the text in a different style: It was a cold night.,"
It was foggy and cold and dark outside."
"rewrite the text in a different style: He softly reclosed the door, and having availed himself of the expiring light of the candle to tie up in a handkerchief the few articles of wearing apparel he had, sat himself down to wait for morning.",The sun shone through the window and lit the room where Nancy lay.
"rewrite the text in a different style: He remembered to have seen the waggons, as they went out, toiling up the hill, so he took the same route; and arriving at a footpath which he knew led out into the road, struck into it, and walked quickly on.","
He hid behind hedges whenever he saw anybody, for fear the undertaker or Mr. Bumble were after him, and before long he found a road that he knew led to London."
"rewrite the text in a different style: 
For seven long days he tramped in the direction of London, tasting nothing but such scraps of meals as he could beg from the occasional cottages by the roadside.","Oliver had never seen a city, but he thought where there were so many people there would certainly be something for a boy to do to earn his living, so he trudged stoutly on and before nightfall had walked twenty miles."
"rewrite the text in a different style: On the seventh morning he limped slowly into the little town of Barnet, and as he was resting for a few moments on the steps of a public-house, a boy crossed over, and walking close to him, said, 
""Hullo!","
He lived there till he was a pale, handsome boy of nine years, and then he was taken to the workhouse, where, with many other boys of his own age or older, he had to work hard all day picking oakum."
"rewrite the text in a different style: 
The boy who addressed this inquiry to the young wayfarer, was about his own age: but one of the queerest looking boys that Oliver had ever seen.","
The boy saw Oliver's plight and asked him what the matter was, mixing his words with such a lot of strange slang that Oliver could hardly understand him."
"rewrite the text in a different style: He was a snub-nosed, flat-browed, common-faced boy enough; and as dirty a juvenile as one would wish to see; but he had about him all the airs and manners of a man.",He was very ugly and his matted red hair hung down over his villainous face.
"rewrite the text in a different style: He was short, with bow-legs, and little, sharp, ugly, eyes.","He was about Oliver's age, with a snub nose, bow legs and little sharp eyes."
"rewrite the text in a different style: His hat was stuck on the top of his head, and he wore a man's coat that reached nearly to his heels.","His face was very dirty and he wore a man's coat, whose ragged tails came to his heels."
rewrite the text in a different style: said this strange young gentleman to Oliver.,"
It was plain enough that for some reason the man hated Oliver, but, cunning as Fagin was, he would never have guessed why."
"rewrite the text in a different style: 
""I am very hungry and tired,"" replied Oliver; the tears standing in his eyes as he spoke. """,The next day and night he was so very hungry and cold that when morning came again he could scarcely walk at all.
rewrite the text in a different style: I have walked a long way.,"
He walked for miles and miles, here and there, without purpose."
"rewrite the text in a different style: 
Upon Oliver answering in the affirmative, the strange boy, whose name was Jack Dawkins, said, ""I've got to be in London to-night; and I know a 'spectable old genelman as lives there, wot'll give you lodgings for nothink, and never ask for the change--that is, if any genelman he knows interduces you.""","The one before Oliver was named Swubble; then came Oliver with a T; the next would be Unwin, the next Vilkins, and so on down to Z. Then he would begin the alphabet all over again."
"rewrite the text in a different style: 
This offer of shelter was too tempting to be resisted, and Oliver trudged off with his new friend.","Some of his old companions were there, but even they shrank from him."
"rewrite the text in a different style: Into the city they passed, and through the worst and darkest streets, the sight of which filled Oliver with alarm.","
He had been seen to enter the place, however, and in a few minutes the street was full of people, all yelling for his capture."
"rewrite the text in a different style: At length they reached the door of a house, which Jack entered, drawing Oliver after him, into its dark passage-way, and closing the door after them.","He barred the doors and windows, but they began to break down the shutters with sledge-hammers."
"rewrite the text in a different style: 
Oliver, groping his way with one hand, and having the other firmly grasped by his companion, ascended with much difficulty the dark and broken stairs, which his conductor mounted with an expedition that showed he was well acquainted with them.","
He ran to the roof with a rope, thinking to let himself down on the side next the river and so escape."
rewrite the text in a different style: He threw open the door of a back-room and drew Oliver in after him.,When the Artful Dodger told him of the arrest the Jew was full of anger.
"rewrite the text in a different style: 
The walls and ceiling of the room were perfectly black with age and dirt.","All the light came in through small round holes at the top, which made the rooms gloomy and full of shadows."
"rewrite the text in a different style: 
Several rough beds, made of old sacks, were huddled side by side on the floor.","Spiderwebs were over all the walls, and often the mice would go scampering across the floor."
"rewrite the text in a different style: The boys all crowded about their associate, as he whispered a few words to the Jew; and then they turned round and grinned at Oliver.","In a corner stood a clothes-horse on which hung hundreds of silk handkerchiefs, and four or five boys, as dirty and oddly dressed as the one who had brought Oliver, sat about a table smoking pipes like rough, grown men."
"rewrite the text in a different style: So did the Jew himself, toasting-fork in hand.","
Oliver's guide introduced him to the Jew, whose name was Fagin, and the boys crowded around him, putting their hands into his pockets, which he thought a queer joke."
"rewrite the text in a different style: 
""This is him, Fagin,"" said Jack Dawkins; ""my friend Oliver Twist.""","Fagin grinned horribly as he shook hands with him and told him he was very welcome, which did not tend to reassure him, and then the sausages were passed around."
"rewrite the text in a different style: 
The Jew, making a low bow to Oliver, took him by the hand, and hoped he should have the honour of his intimate acquaintance.","The Jew gave Oliver a glass of something to drink, and as soon as he drank it he became very sleepy and knew nothing more till the following morning."
"rewrite the text in a different style: Upon this the young gentlemen came round him, and shook his hand very hard, especially the one in which he held his little bundle.","He smiled such a fiendish smile that Oliver screamed for help as loud as he could, and at this Fagin picked up a great jagged club to beat him with."
rewrite the text in a different style: In the midst of which they went to supper.,He begged a crust of bread at a cottage and slept under a hayrick.
rewrite the text in a different style: Oliver did as he was desired.,"
The next few days Oliver saw much to wonder at."
"rewrite the text in a different style: Immediately afterwards, he felt himself gently lifted on to one of the sacks; and then he sunk into a deep sleep.","When he woke up, Fagin was sorting over a great box full of watches, which he hid away when he saw Oliver was looking."
"rewrite the text in a different style: 
It was late next morning when Oliver awoke, from a sound, long sleep.","When night came he crawled into a disused shed, but he could not sleep."
"rewrite the text in a different style: There was no other person in the room but the old Jew, who was boiling some coffee in a saucepan for breakfast, and whistling softly to himself as he stirred it.",Whenever he closed his eyes he seemed to see Nancy's eyes looking at him.
"rewrite the text in a different style: He would stop every now and then to listen when there was the least noise below; and, when he had satisfied himself, he would go on, whistling and stirring again, as before.","He got up and wandered on again, desperately lonely for some one to talk to."
"rewrite the text in a different style: 
At least half a dozen more were severally drawn forth from the same box, besides rings, brooches, bracelets, and other articles of jewellery, of such magnificent materials, and costly workmanship, that Oliver had no idea, even of their names.","She knew through the locket she had kept, which had belonged to Oliver's mother and which contained the dead woman's wedding-ring with her name engraved inside it."
"rewrite the text in a different style: 
At length the bright, dark eyes of the Jew, which had been staring vacantly before him, fell on Oliver's face; the boy's eyes were fixed on his in mute curiosity; and, although the recognition was only for an instant,--it was enough to show the man that he had been observed.","
Just at that instant he imagined he saw Nancy's eyes again looking at him."
"rewrite the text in a different style: said the Jew. ""","
The knowledge, as the Jew expected, turned Sikes into a demon."
"rewrite the text in a different style: 
""I wasn't able to sleep any longer, sir,"" replied Oliver meekly. ""","
He was so dizzy he could hardly stand, but it was freezing cold, and he knew if he stayed there he must die."
"rewrite the text in a different style: you're a brave boy, Oliver!""","It was he who named the baby ""Oliver Twist."""
"rewrite the text in a different style: said Fagin, turning rather pale. ""","
Something had occurred, too, meantime, that made Fagin almost crazy with rage at losing him."
rewrite the text in a different style: All I have to live upon in my old age.,"He was free to wander about the mildewed old house, but every outer door was locked and every window had closed iron shutters."
"rewrite the text in a different style: 
Oliver thought the old gentleman must be a decided miser to live in such a dirty place, with so many watches; but thinking that perhaps his fondness for the Dodger and the other boys, cost him a good deal of money, he only cast a deferential look at the Jew, and asked if he might get up.","
Oliver did not think his new host looked very respectable himself, but he thought it might be as well for him to know the old gentleman, particularly as he had nowhere else to go."
"rewrite the text in a different style: 
""If you please, sir,"" said Oliver.","
""Don't fret about that,"" said the other. """
"rewrite the text in a different style: Fagin, placing a snuff-box in one pocket of his trousers, a notecase in the other, and a watch in his waistcoat pocket, with a guard-chain round his neck, and sticking a mock diamond pin in his shirt, buttoned his coat tight round him, and putting his spectacle-case and handkerchief in his pockets, trotted up and down with a stick, in imitation of the manner in which old gentlemen walk about the streets.","
The wicked apprentice, who had been the real cause of poor Nancy's murder, was so frightened at the fate of Fagin that he reformed and became a spy for the police, and by his aid the Artful Dodger, who continued to pick pockets, soon found himself in jail."
"rewrite the text in a different style: Sometimes he stopped at the fire-place, and sometimes at the door, making believe that he was staring with all his might into shop windows.","
The first one who came by was a middle-aged chimney-sweep, who wanted a boy to climb up the insides of chimneys and clean out the soot."
"rewrite the text in a different style: At such times he would look constantly round him, for fear of thieves, and would keep slapping all his pockets in turn, to see that he hadn't lost anything, in such a very funny and natural manner, that Oliver laughed till the tears ran down his face.","This was a dangerous thing to do, for sometimes the boys who did it got burned or choked with the smoke, and when Oliver found what they were going to do with him and looked at the man's cruel face, he burst out crying, so that a kind-hearted magistrate interfered and would not let the chimney-sweep have him."
"rewrite the text in a different style: 
All this time, the two boys followed him closely about; getting out of his sight so nimbly, that it was impossible to follow their motions.","This he thought was likely to happen at any time, unless he could get the boy into his power again."
"rewrite the text in a different style: At last, the Dodger trod upon his toes accidentally, while Charley Bates stumbled up against him behind; and in that one moment they took from him, with the most extraordinary rapidity, snuff-box, note-case, watch-guard, chain, shirt-pin, pocket-handkerchief--even the spectacle-case.","All the time the boys followed him closely, sometimes treading on his toes or stumbling against him, and when this happened one of them would slip a hand into his pocket and take out either the watch or the snuff-box or the handkerchief."
"rewrite the text in a different style: If the old gentleman felt a hand in one of his pockets, he cried out where it was; and then the game began all over again.","If the Jew felt a hand in his pocket he cried out which it was, and then the game began all over again."
"rewrite the text in a different style: 
When this game had been played a great many times, a couple of young women came in; one of whom was named Bet, and the other Nancy, and afterwards Oliver discovered that they also were pupils of Fagin's as well as the boys.","At last Fagin made Oliver try if he could take something out of his pocket without his knowing it, and when Oliver succeeded he patted his head and seemed well pleased."
"rewrite the text in a different style: 
Later the young people went out, leaving Oliver alone with the Jew, who was pacing up and down the room.","
But Oliver grew very tired of the dirty room and the same game."
"rewrite the text in a different style: said the Jew, stopping short, in front of Oliver.","When Oliver explained that he had been walking a number of days and was very hungry, the other took him to a shop near by, bought him some bread and ham, and watched him eat it with great attention, asking him many questions--whether he had any money or knew any place in London where he could stay."
"rewrite the text in a different style: 
""Yes sir,"" said Oliver.",Oliver answered no.
rewrite the text in a different style: cried the Jew.,"
Nancy had cried so much and acted so strangely that the old Jew had grown suspicious and had set some one to watch her."
"rewrite the text in a different style: 
""You're a clever boy, my dear,"" said the playful old gentleman, patting Oliver on the head approvingly. """,The old gentleman was quick to see that they must get possession of Monks and frighten him into confessing the fact--whose only proofs had been lost when he threw the locket and ring into the river.
"rewrite the text in a different style: 
Oliver wondered what picking the old gentleman's pocket in play, had to do with his chances of being a great man.","

III 
HOW EVERYTHING TURNED OUT RIGHT FOR OLIVER IN THE END 
After a long, long time Oliver came to himself."
"rewrite the text in a different style: But, thinking that the Jew, being so much his senior, must know best, he followed him quietly to the table, and was soon deeply involved in his new study.","
Here, frying some sausages over a stove, was a shriveled old Jew in a greasy flannel gown."
"rewrite the text in a different style: But at length, he began to languish, and entreated Fagin to allow him to go out to work with his two companions.","
The company of thieves was broken up with Fagin's arrest."
"rewrite the text in a different style: So, one morning, he obtained permission to go out, under the guardianship of Charley Bates and the Dodger.","
Nancy took him to the house where Sikes lived, and the next morning the latter started out, making Oliver go with him."
"rewrite the text in a different style: 
They were just emerging from a narrow court, when the Dodger made a sudden stop; and, laying his finger on his lip, drew his companions back again with the greatest caution.",He knew then that the Artful Dodger was a pickpocket.
"rewrite the text in a different style: said Oliver. """,But Oliver was so little that he could do it easily.
"rewrite the text in a different style: 
Oliver looked from one to the other, with the greatest surprise; but could not ask any questions, for the two boys walked stealthily across the road, and slunk close behind the old gentleman.","
It was night when they reached London, and it was so big and crowded that Oliver kept close to his guide."
"rewrite the text in a different style: Oliver walked a few paces behind them, looking on in silent amazement.","He longed for the open air and begged to be allowed to go out; so one day the Jew put him in charge of the Artful Dodger and they went upon the streets, Oliver wondering where in the world he was going to be taught to make pocketbooks."
"rewrite the text in a different style: 
The old gentleman had taken up a book from the stall; and there he stood: reading away, perfectly absorbed, and saw not the book-stall, nor the street, nor the boys, nor anything but the book itself.","
He was on the point of asking, when the Artful Dodger signed to him to be silent, and slunk behind an old gentleman who was reading a book in front of a book-stall."
"rewrite the text in a different style: What was Oliver's horror and alarm to see the Dodger plunge his hand into the old gentleman's pocket, and draw from thence a handkerchief!","You can imagine Oliver's horror when he saw him thrust his hand into the old gentleman's pocket, draw out a silk handkerchief and run off at full speed."
